IDb	Year	Latitude	Longitude
4257	0	50.73743	7.098207
4257	0	52.630886	1.297355
4257	0	50.102421	8.7481
4257	0	48.847601	2.264082
4257	0	50.901756	6.398384
4257	0	49.014185	8.383265
4257	0	51.64832	10.11807
4271	0	52.102436	5.178782
4271	0	51.96653	5.659615
4271	0	40.43515	-3.697358
4271	0	40.460008	-3.779524
4271	0	52.007158	4.365843
4271	0	52.217106	6.901075
4272	0	39.50967	-0.413596
4272	0	52.090737	5.12142
4272	0	43.610769	3.876716
4273	0	41.38698	2.16364
4273	0	40.218125	-8.432131
4273	0	40.416775	-3.70379
4273	0	43.708077	10.401819
4273	0	39.503709	-0.443162
4274	0	41.503718	2.086401
4274	0	41.903359	12.515426
4274	0	38.717824	-9.151614
4275	0	52.197861	0.125505
4275	0	47.902964	1.909251
4275	0	45.193238	5.762699
4275	0	49.392895	8.720257
4276	0	44.80064	-0.596055
4276	0	51.608044	-1.24484
4276	0	51.455643	7.011555
4276	0	55.64191	12.087845
4276	0	53.307687	-6.224349
4276	0	51.758515	-1.253138
4276	0	51.256213	7.150764
4276	0	47.902964	1.909251
4276	0	49.992862	8.247253
4277	0	49.00689	8.403653
4277	0	51.16831	4.394287
4278	0	39.477554	-0.361631
4278	0	52.135973	-0.466655
4279	0	40.625606	-8.566608
4279	0	40.451373	-3.727224
4279	0	39.331775	16.183903
4279	0	38.722252	-9.139337
4279	0	37.983917	23.72936
4279	0	36.742172	-4.554723
4280	0	40.481262	-3.363545
4280	0	40.218125	-8.432131
4280	0	40.625606	-8.566608
4280	0	41.927316	12.575164
4280	0	45.06644	7.58845
4280	0	43.452598	5.471736
4280	0	43.669706	5.68656
4280	0	44.164922	0.163699
4281	0	53.079296	8.801694
4281	0	51.758515	-1.253138
4281	0	54.339084	10.124824
4281	0	47.902964	1.909251
4281	0	51.256213	7.150764
4281	0	49.992862	8.247253
4281	0	51.5588	9.94759
4281	0	58.410807	15.621373
4282	0	52.364672	4.913149
4282	0	41.497335	2.091038
4282	0	52.205337	0.121817
4282	0	37.982407	23.707056
4282	0	43.611482	7.054772
4282	0	52.135973	-0.466655
4282	0	48.848858	2.335422
4282	0	48.840258	1.913753
4283	0	38.24664	21.734574
4283	0	50.278039	-3.868563
4283	0	53.381048	-1.492686
4283	0	53.469065	-2.236082
4283	0	55.688512	12.573599
4283	0	55.707019	13.198273
4284	0	44.80064	-0.596055
4284	0	51.455643	7.011555
4284	0	51.608044	-1.24484
4284	0	54.339084	10.124824
4284	0	51.256213	7.150764
4284	0	47.902964	1.909251
4284	0	49.992862	8.247253
4284	0	50.86386	4.69594
4285	0	49.417277	8.674389
4285	0	40.625606	-8.566608
4285	0	53.800755	-1.549077
4285	0	50.278039	-3.868563
4285	0	48.856614	2.352222
4285	0	48.70461	2.132356
4285	0	49.992862	8.247253
4286	0	45.409628	11.886384
4286	0	52.090737	5.12142
4286	0	41.929085	12.4275
4286	0	55.945174	-3.190594
4286	0	56.461653	-2.991362
4286	0	52.136534	5.210381
4288	0	43.723277	10.470665
4288	0	49.579332	11.030381
4288	0	55.707019	13.198273
4289	0	35.338735	25.144213
4289	0	55.685601	12.570094
4290	0	39.50967	-0.413596
4290	0	55.684199	12.579543
4290	0	51.96653	5.659615
4290	0	51.974605	5.646085
4290	0	51.353846	-1.100538
4290	0	51.969187	5.665395
4290	0	51.968016	5.658168
4290	0	43.604652	1.444209
4290	0	52.45811	13.3107
4290	0	48.881393	2.36406
4290	0	51.601953	-1.11073
4300	0	40.351516	18.175016
4300	0	52.011577	4.357068
4300	0	55.871751	-4.28836
4300	0	48.817223	1.949075
4300	0	55.753587	-4.928617
4300	0	48.381438	-4.620404
4300	0	56.415157	-5.471047
4303	0	35.338735	25.144213
4303	0	43.281955	5.349453
4303	0	54.330097	10.14798
4303	0	48.824531	2.274342
4304	0	43.616354	7.055222
4304	0	55.846645	12.155589
4304	0	51.986005	4.37939
4304	0	41.896299	12.496506
4304	0	52.070498	4.3007
4305	0	50.893613	-1.394196
4305	0	48.821332	2.315171
4306	0	52.503478	4.75717
4306	0	52.404849	9.823051
4306	0	54.327126	10.180184
4306	0	52.876011	-1.077836
4306	0	59.948766	10.73082
4307	0	40.846102	14.070128
4307	0	41.675995	2.790229
4307	0	43.281955	5.349453
4307	0	48.842315	2.36036
4308	0	43.616354	7.055222
4308	0	52.448972	-1.93086
4308	0	45.193238	5.762699
4308	0	43.124228	5.928
4310	0	52.160114	4.49701
4310	0	52.353976	4.951152
4310	0	52.211157	5.969923
4310	0	55.861652	-4.239657
4310	0	52.005746	4.370405
4310	0	52.076078	4.757707
4310	0	51.481581	-3.17909
4310	0	50.366158	-4.147829
4310	0	48.10503	11.459579
4310	0	52.070498	4.3007
4311	0	55.787026	12.527595
4311	0	43.296482	5.36978
4311	0	35.338735	25.144213
4311	0	45.757877	4.832005
4311	0	48.886297	2.215674
4311	0	52.766289	-1.23771
4311	0	48.824531	2.274342
4480	0	44.805362	10.309004
4480	0	50.85034	4.35171
4480	0	51.219448	4.402464
4480	0	41.394382	2.113115
4480	0	51.507351	-0.127758
4480	0	52.376383	9.802693
4484	0	45.476739	9.227256
4484	0	40.841339	14.250031
4484	0	52.011577	4.357068
4484	0	45.64977	13.7662
4485	0	51.343538	0.692069
4485	0	51.481581	-3.17909
4485	0	51.054342	3.717424
4485	0	51.15078	8.31158
4486	0	40.210059	-8.423947
4486	0	53.381048	-1.492686
4486	0	56.116523	-3.936903
4486	0	38.722252	-9.139337
4488	0	38.138219	-5.205791
4488	0	50.82253	-0.137163
4491	0	52.090737	5.12142
4491	0	51.365018	-0.164921
4491	0	45.737865	4.887062
4491	0	51.20534	6.78666
4491	0	52.136534	5.210381
4580	0	45.188138	9.150889
4580	0	44.805362	10.309004
4580	0	45.184725	9.158207
4580	0	41.394382	2.113115
4580	0	52.632284	-1.124859
4622	0	53.079296	8.801694
4631	0	55.386277	10.363171
4667	0	51.62144	-3.943646
4667	0	40.625606	-8.566608
4667	0	40.449757	-3.722238
4667	0	50.374632	-4.137823
4668	0	38.04426	-0.843688
4668	0	43.947004	4.82096
4668	0	50.278039	-3.868563
4668	0	54.98032	-1.615713
4668	0	43.529742	5.447427
4668	0	45.193238	5.762699
4668	0	43.529742	5.447427
4668	0	37.99224	-1.130654
4668	0	41.379088	2.12784
4668	0	43.610769	3.876716
4668	0	45.193238	5.762699
4669	0	52.363961	4.912571
4669	0	41.379088	2.12784
4670	0	50.668081	4.611832
4670	0	49.749992	6.637143
4670	0	41.379088	2.12784
4671	0	49.417277	8.674389
4671	0	50.623252	3.144265
4671	0	53.079296	8.801694
4671	0	52.197861	0.125505
4671	0	55.676097	12.568337
4671	0	63.980287	28.674904
4671	0	48.746318	2.266838
4671	0	44.648837	10.920087
4671	0	40.471568	-3.449835
4671	0	50.796821	4.3569
4671	0	59.975474	11.053226
4671	0	52.212978	0.079988
4671	0	49.992862	8.247253
4672	0	55.924555	-3.177091
4672	0	55.702448	12.559411
4672	0	55.861577	-3.206464
4672	0	51.55815	9.95778
4672	0	59.346088	18.073075
4673	0	37.980496	23.756115
4673	0	47.06975	15.448568
4673	0	37.983917	23.72936
4674	0	48.200221	16.363122
4674	0	49.417277	8.674389
4674	0	50.278039	-3.868563
4674	0	50.901756	6.398384
4675	0	53.079296	8.801694
4675	0	46.947922	7.444608
4675	0	48.746318	2.266838
4675	0	57.425641	11.973101
4675	0	44.830555	-0.527552
4675	0	47.47648	11.06289
4675	0	50.796821	4.3569
4675	0	51.42366	-0.33955
4675	0	49.014185	8.383265
4676	0	51.758515	-1.253138
4676	0	50.901756	6.398384
4677	0	52.037698	4.321974
4677	0	52.160114	4.49701
4677	0	48.00783	7.85905
4677	0	50.82253	-0.137163
4677	0	51.227741	6.773456
4678	0	43.514758	5.432975
4678	0	43.64152	7.009186
4678	0	44.52161	11.339483
4678	0	43.69253	7.237396
4678	0	55.838229	12.41108
4678	0	48.854946	2.330499
4678	0	35.460023	24.072586
4678	0	43.621532	7.041405
4678	0	43.947004	4.82096
4679	0	52.160114	4.49701
4679	0	52.090737	5.12142
4679	0	52.160114	4.49701
4679	0	48.796625	2.358471
4680	0	52.08729	5.165475
4680	0	52.62237	1.241391
4680	0	55.676719	12.596402
4680	0	45.193238	5.762699
4680	0	52.212978	0.079988
4680	0	53.56881	9.981978
4680	0	55.688366	12.581401
4680	0	53.539217	8.58181
4681	0	44.500324	11.356542
4681	0	50.09097	8.66326
4681	0	37.983917	23.72936
4681	0	53.401095	-3.074262
4682	0	51.49798	-0.13578
4682	0	48.584415	7.766798
4682	0	52.102436	5.178782
4682	0	48.632158	2.617516
4682	0	47.902964	1.909251
4682	0	51.283236	-0.776563
4682	0	51.256213	7.150764
4682	0	51.454513	-2.58791
4682	0	51.608044	-1.24484
4682	0	50.901756	6.398384
4682	0	48.796899	2.280397
4682	0	50.850929	7.113734
4682	0	48.213535	11.481335
4682	0	59.975474	11.053226
4682	0	60.373053	5.341143
4683	0	49.94564	11.571335
4683	0	53.171826	6.605243
4683	0	51.968016	5.658168
4683	0	53.381048	-1.492686
4683	0	51.969187	5.665395
4683	0	59.968937	10.773849
4683	0	51.601953	-1.11073
4684	0	52.414728	-4.088357
4684	0	52.630886	1.297355
4684	0	59.975474	11.053226
4684	0	49.992862	8.247253
4684	0	51.283236	-0.776563
4684	0	50.901756	6.398384
4685	0	50.92725	6.934117
4685	0	52.197861	0.125505
4685	0	55.676097	12.568337
4685	0	43.604652	1.444209
4685	0	47.902964	1.909251
4685	0	51.41604	-0.75398
4685	0	52.45811	13.3107
4685	0	49.992862	8.247253
4697	0	53.079296	8.801694
4709	0	53.349805	-6.26031
4709	0	52.288026	-6.526512
4709	0	37.983917	23.72936
4709	0	53.332849	-6.291391
4709	0	53.40363	10.42719
4709	0	52.425111	13.358109
4709	0	53.800755	-1.549077
4719	0	48.876212	2.174242
4722	0	59.356297	18.054099
4722	0	63.413454	10.408935
4722	0	45.416983	9.281165
4722	0	44.407726	8.927773
4722	0	45.188529	5.724524
4722	0	49.119309	6.175716
4722	0	48.381438	-4.620404
4723	0	55.846645	12.155589
4723	0	51.380442	-2.330673
4723	0	51.42366	-0.33955
4724	0	51.986005	4.37939
4724	0	48.895207	2.167727
4724	0	45.521703	9.193528
4724	0	52.388644	9.712593
4725	0	55.846645	12.155589
4725	0	55.787026	12.527595
4725	0	48.722731	2.27115
4726	0	44.402571	8.960208
4726	0	50.374215	-4.138204
4726	0	42.240599	-8.720727
4726	0	50.366158	-4.147829
4727	0	38.736996	-9.139917
4727	0	51.998793	4.375587
4727	0	63.430515	10.395053
4727	0	63.430515	10.395053
4727	0	43.129453	5.961545
4727	0	40.443582	-3.693579
4727	0	37.983917	23.72936
4727	0	45.153225	5.726817
4727	0	37.941881	23.698659
4728	0	50.85034	4.35171
4728	0	50.85034	4.35171
4728	0	45.774657	4.77867
4728	0	48.381438	-4.620404
4729	0	52.282396	10.544349
4729	0	45.153225	5.726817
4729	0	52.090737	5.12142
4729	0	47.273498	-2.213848
4729	0	44.399712	8.961231
4729	0	41.394382	2.113115
4729	0	55.763516	12.494943
4729	0	43.798303	11.253378
4729	0	45.43432	12.33254
4729	0	51.896892	-8.486316
4729	0	49.411624	2.815958
4729	0	51.986005	4.37939
4729	0	51.524283	-0.134608
4729	0	51.458417	-2.602979
4729	0	52.892893	-3.995846
4729	0	50.374632	-4.137823
4729	0	53.403215	-2.964149
4729	0	40.392935	-3.704917
4729	0	40.640063	22.944419
4729	0	48.895207	2.167727
4729	0	55.871683	12.495653
4729	0	45.420104	9.274607
4729	0	51.998793	4.375587
4729	0	51.607468	-1.111994
4729	0	45.193238	5.762699
4729	0	52.007609	4.368076
4729	0	63.430515	10.395053
4729	0	50.86386	4.69594
4729	0	48.381438	-4.620404
4729	0	38.756444	-9.146581
4730	0	43.124228	5.928
4730	0	53.405937	-2.967219
4730	0	56.071741	-3.452151
4730	0	38.709219	-9.157611
4730	0	37.983917	23.72936
4730	0	48.825415	2.130544
4730	0	51.185732	-0.612808
4730	0	43.102976	5.878219
4731	0	43.470486	-3.803004
4731	0	50.374632	-4.137823
4734	0	44.52161	11.339483
4734	0	43.604652	1.444209
4735	0	44.402571	8.960208
4735	0	44.398141	8.960418
4735	0	55.909403	-3.320699
4736	0	55.787026	12.527595
4736	0	55.846645	12.155589
4736	0	43.616354	7.055222
4736	0	54.981886	-1.614267
4736	0	45.193238	5.762699
4737	0	43.616354	7.055222
4737	0	43.703976	7.311109
4737	0	55.909403	-3.320699
4738	0	43.616354	7.055222
4738	0	55.846645	12.155589
4738	0	38.722252	-9.139337
4738	0	55.766275	12.505853
4738	0	46.709353	-2.346624
4738	0	48.390394	-4.486076
4739	0	45.188529	5.724524
4739	0	45.484409	9.268199
4739	0	53.57552	9.70593
4739	0	45.153225	5.726817
4740	0	40.210059	-8.423947
4740	0	45.409526	11.889043
4740	0	55.702806	12.561338
4741	0	48.856614	2.352222
4741	0	45.188529	5.724524
4741	0	39.569601	2.65016
4741	0	38.736996	-9.139917
4741	0	43.513477	5.469123
4743	0	41.394382	2.113115
4743	0	40.447361	-3.738431
4743	0	50.937381	-1.397772
4743	0	50.9097	-1.404351
4745	0	37.987634	23.734901
4745	0	52.205337	0.121817
4745	0	40.63535	22.940552
4745	0	38.003055	23.740292
4745	0	37.983917	23.72936
4746	0	41.178523	-8.598955
4746	0	50.842145	4.373926
4746	0	37.354152	-5.988546
4746	0	38.002156	23.941411
4746	0	45.73684	4.869114
4746	0	37.510735	15.068551
4746	0	45.779006	4.922134
4746	0	37.051679	-2.390055
4746	0	37.983917	23.72936
4746	0	38.770407	-9.177227
4747	0	51.499304	-0.187312
4747	0	37.983917	23.72936
4748	0	51.823398	-1.290459
4748	0	47.661765	9.480011
4748	0	38.164046	21.834307
4749	0	59.945275	10.71197
4749	0	45.771944	4.890171
4749	0	51.80293	10.34452
4750	0	40.625606	-8.566608
4750	0	59.945275	10.71197
4750	0	53.40034	-2.955989
4750	0	53.475128	-2.235062
4750	0	45.412923	9.277743
4750	0	50.113176	8.644545
4751	0	55.763516	12.494943
4751	0	52.011577	4.357068
4751	0	50.842145	4.373926
4751	0	63.980287	28.674904
4751	0	46.519962	6.633597
4751	0	55.867254	12.490458
4751	0	48.852283	2.273613
4751	0	51.656489	-0.39032
4751	0	37.983917	23.72936
4751	0	59.913869	10.752245
4752	0	45.412923	9.277743
4752	0	45.639551	4.840915
4752	0	50.623252	3.144265
4752	0	40.824733	14.194547
4753	0	48.856614	2.352222
4753	0	50.9097	-1.404351
4753	0	51.481581	-3.17909
4753	0	51.054342	3.717424
4754	0	41.107986	16.880539
4754	0	38.24664	21.734574
4754	0	48.714509	2.245748
4754	0	50.81106	8.76939
4755	0	45.166569	5.744262
4755	0	45.416983	9.281165
4755	0	45.188529	5.724524
4756	0	51.42589	-0.568037
4756	0	41.379088	2.12784
4757	0	40.451373	-3.727224
4757	0	44.092193	6.235976
4757	0	43.921807	5.915724
4757	0	43.583375	3.812953
4758	0	49.41897	8.67274
4758	0	63.980287	28.674904
4758	0	47.902964	1.909251
4758	0	51.459445	7.051404
4759	0	51.507762	-0.136044
4759	0	41.916269	12.503161
4760	0	52.203056	0.122222
4760	0	48.661118	6.17376
4760	0	47.902964	1.909251
4761	0	38.154327	15.516665
4761	0	40.525069	-3.692753
4762	0	51.571062	-1.294216
4762	0	43.616354	7.055222
4762	0	37.983917	23.72936
4762	0	37.983917	23.72936
4762	0	38.736356	-9.140766
4763	0	50.85034	4.35171
4763	0	53.349805	-6.26031
4763	0	37.983917	23.72936
4764	0	56.399033	-3.431006
4764	0	37.983137	23.736804
4764	0	59.354429	17.88399
4764	0	55.73521	12.386703
4764	0	45.525755	9.285991
4764	0	52.375892	9.73201
4764	0	40.426647	-3.688869
4765	0	37.983917	23.72936
4765	0	48.113	11.53849
4765	0	42.070514	13.911516
4766	0	40.522512	23.028077
4766	0	43.718156	10.405798
4767	0	48.868798	2.187824
4767	0	52.42265	10.786546
4767	0	48.4257	9.95961
4767	0	57.70887	11.97456
4767	0	48.135125	11.581981
4767	0	59.4065	17.850542
4767	0	45.47705	9.250039
4767	0	42.023599	12.316975
4767	0	48.178922	11.529384
4767	0	51.303683	-0.335761
4767	0	45.007255	7.543594
4767	0	48.724103	9.16757
4767	0	48.787899	2.190408
4767	0	51.312509	9.477886
