IDc	Lat	Long	NbArticles	IdClustDBScan	IdClustCham	isFusion
2	-38.0396230	-57.5639910	1	0	0	No
3	-36.8201350	-73.0443900	1	0	0	No
4	-34.9011130	-56.1645310	1	0	0	No
5	-34.8930140	-56.1503240	1	0	0	No
6	-34.8884300	-56.1854940	1	0	0	No
7	-34.6036840	-58.3815590	2	0	0	No
8	-33.4500000	-70.6666670	2	0	0	No
9	-33.4488900	-70.6692650	2	0	0	No
10	-32.8692430	-68.8449030	1	0	0	No
11	-31.7653990	-52.3375890	1	0	0	No
12	-30.0629560	-51.1608940	1	0	0	No
13	-27.4692130	-58.8306350	1	0	0	No
14	-25.9695930	32.5857310	1	0	0	No
15	-25.8919680	32.6051350	2	0	0	No
16	-24.6282080	25.9231470	2	0	0	No
17	-24.5911680	25.9412530	1	0	0	No
18	-23.5663330	-46.7186290	1	0	0	No
19	-23.5510370	-46.6651020	1	0	0	No
20	-23.5505200	-46.6333090	1	0	0	No
21	-23.5499160	-46.6334290	1	0	0	No
22	-23.3044520	-51.1695820	1	0	0	No
23	-22.9068470	-43.1728960	1	0	0	No
24	-22.8757010	-43.2429690	1	0	0	No
25	-22.8478390	-43.2474140	1	0	0	No
26	-22.8357970	-43.3618610	1	0	0	No
27	-22.7342860	-47.6480640	1	0	0	No
28	-21.1393420	-175.2049470	1	0	0	No
29	-20.4697100	-54.6201210	1	0	0	No
30	-20.2195240	57.5023320	1	0	0	No
31	-19.9245460	-43.9281670	1	0	0	No
32	-19.9213500	-43.9527300	1	0	0	No
33	-19.9213040	-43.9526900	1	0	0	No
34	-19.0195850	-65.2619610	1	0	0	No
35	-18.8791900	47.5079050	1	0	0	No
36	-18.5121780	-44.5550310	1	0	0	No
37	-17.8251660	31.0335100	7	0	0	No
38	-17.7799310	31.0551020	1	0	0	No
39	-17.4139770	-66.1653220	2	0	0	No
40	-16.6868910	-49.2647940	1	0	0	No
41	-16.6324880	-49.2221170	1	0	0	No
42	-16.4896890	-68.1192940	3	0	0	No
43	-15.8326870	35.0609940	1	0	0	No
